station id,station name,valid,količina padavin [mm],dež,nevihta,sneg,sodra,poledica,padavine,snežna odeja
_1801,LJUBLJANA - DOBRUNJE,2022-08-01,0,ne,ne,ne,ne,ne,ne,ne
_1801,LJUBLJANA - DOBRUNJE,2022-08-02,7.6,da,da,ne,ne,ne,da,ne
_1801,LJUBLJANA - DOBRUNJE,2022-08-03,0,ne,ne,ne,ne,ne,ne,ne
_1801,LJUBLJANA - DOBRUNJE,2022-08-04,0,ne,ne,ne,ne,ne,ne,ne
_1801,LJUBLJANA - DOBRUNJE,2022-08-05,0,ne,ne,ne,ne,ne,ne,ne
_1801,LJUBLJANA - DOBRUNJE,2022-08-06,0,da,ne,ne,ne,ne,ne,ne
_1801,LJUBLJANA - DOBRUNJE,2022-08-07,1,ne,ne,ne,ne,ne,da,ne
_1801,LJUBLJANA - DOBRUNJE,2022-08-08,0,ne,ne,ne,ne,ne,ne,ne
_1801,LJUBLJANA - DOBRUNJE,2022-08-09,0,ne,ne,ne,ne,ne,ne,ne
_1801,LJUBLJANA - DOBRUNJE,2022-08-10,0,ne,ne,ne,ne,ne,ne,ne
_1801,LJUBLJANA - DOBRUNJE,2022-08-11,0,ne,ne,ne,ne,ne,ne,ne
_1801,LJUBLJANA - DOBRUNJE,2022-08-12,0.2,da,da,ne,ne,ne,da,ne
_1801,LJUBLJANA - DOBRUNJE,2022-08-13,0,da,ne,ne,ne,ne,ne,ne
_1801,LJUBLJANA - DOBRUNJE,2022-08-14,3.8,ne,ne,ne,ne,ne,da,ne
_1801,LJUBLJANA - DOBRUNJE,2022-08-15,0,ne,ne,ne,ne,ne,ne,ne
_1801,LJUBLJANA - DOBRUNJE,2022-08-16,0,da,ne,ne,ne,ne,da,ne
_1801,LJUBLJANA - DOBRUNJE,2022-08-17,0,ne,ne,ne,ne,ne,ne,ne
_1801,LJUBLJANA - DOBRUNJE,2022-08-18,0,da,da,ne,ne,ne,ne,ne
_1801,LJUBLJANA - DOBRUNJE,2022-08-19,2.5,da,da,ne,ne,ne,da,ne
_1801,LJUBLJANA - DOBRUNJE,2022-08-20,3.9,da,da,ne,ne,ne,da,ne
_1801,LJUBLJANA - DOBRUNJE,2022-08-21,0,da,ne,ne,ne,ne,da,ne
_1801,LJUBLJANA - DOBRUNJE,2022-08-22,0,da,ne,ne,ne,ne,da,ne
_1801,LJUBLJANA - DOBRUNJE,2022-08-23,1.5,da,ne,ne,ne,ne,da,ne
_1801,LJUBLJANA - DOBRUNJE,2022-08-24,0.9,ne,ne,ne,ne,ne,da,ne
_1801,LJUBLJANA - DOBRUNJE,2022-08-25,0,ne,ne,ne,ne,ne,ne,ne
_1801,LJUBLJANA - DOBRUNJE,2022-08-26,0,ne,ne,ne,ne,ne,ne,ne
_1801,LJUBLJANA - DOBRUNJE,2022-08-27,0,da,da,ne,ne,ne,ne,ne
_1801,LJUBLJANA - DOBRUNJE,2022-08-28,1.5,da,ne,ne,ne,ne,da,ne
_1801,LJUBLJANA - DOBRUNJE,2022-08-29,5.5,da,ne,ne,ne,ne,da,ne
_1801,LJUBLJANA - DOBRUNJE,2022-08-30,3.1,da,da,ne,ne,ne,da,ne
_1801,LJUBLJANA - DOBRUNJE,2022-08-31,0.2,da,ne,ne,ne,ne,da,ne
_1801,LJUBLJANA - DOBRUNJE,2022-09-01,6.3,da,ne,ne,ne,ne,da,ne
_1801,LJUBLJANA - DOBRUNJE,2022-09-02,0,ne,ne,ne,ne,ne,ne,ne
_1801,LJUBLJANA - DOBRUNJE,2022-09-03,0,ne,ne,ne,ne,ne,ne,ne
_1801,LJUBLJANA - DOBRUNJE,2022-09-04,0,da,ne,ne,ne,ne,ne,ne
_1801,LJUBLJANA - DOBRUNJE,2022-09-05,5.1,ne,ne,ne,ne,ne,da,ne
_1801,LJUBLJANA - DOBRUNJE,2022-09-06,0,ne,ne,ne,ne,ne,ne,ne
_1801,LJUBLJANA - DOBRUNJE,2022-09-07,0,ne,ne,ne,ne,ne,ne,ne
_1801,LJUBLJANA - DOBRUNJE,2022-09-08,0,da,da,ne,ne,ne,ne,ne
_1801,LJUBLJANA - DOBRUNJE,2022-09-09,12,da,da,ne,ne,ne,da,ne
_1801,LJUBLJANA - DOBRUNJE,2022-09-10,8.5,da,da,ne,ne,ne,da,ne
