station id,station name,valid,količina padavin [mm],dež,nevihta,sneg,sodra,poledica,padavine,snežna odeja
_2855,LJUBLJANA - ŠENTVID,2022-08-01,0,ne,ne,ne,ne,ne,ne,ne
_2855,LJUBLJANA - ŠENTVID,2022-08-02,9.1,da,da,ne,ne,ne,da,ne
_2855,LJUBLJANA - ŠENTVID,2022-08-03,0,ne,ne,ne,ne,ne,ne,ne
_2855,LJUBLJANA - ŠENTVID,2022-08-04,0,ne,ne,ne,ne,ne,ne,ne
_2855,LJUBLJANA - ŠENTVID,2022-08-05,0,ne,ne,ne,ne,ne,ne,ne
_2855,LJUBLJANA - ŠENTVID,2022-08-06,0,da,da,ne,ne,ne,ne,ne
_2855,LJUBLJANA - ŠENTVID,2022-08-07,9.3,ne,ne,ne,ne,ne,da,ne
_2855,LJUBLJANA - ŠENTVID,2022-08-08,0,ne,ne,ne,ne,ne,ne,ne
_2855,LJUBLJANA - ŠENTVID,2022-08-09,0,ne,ne,ne,ne,ne,ne,ne
_2855,LJUBLJANA - ŠENTVID,2022-08-10,0,ne,ne,ne,ne,ne,ne,ne
_2855,LJUBLJANA - ŠENTVID,2022-08-11,0,ne,ne,ne,ne,ne,ne,ne
_2855,LJUBLJANA - ŠENTVID,2022-08-12,0.8,da,ne,ne,ne,ne,da,ne
_2855,LJUBLJANA - ŠENTVID,2022-08-13,1,da,ne,ne,ne,ne,da,ne
_2855,LJUBLJANA - ŠENTVID,2022-08-14,4.1,ne,ne,ne,ne,ne,da,ne
_2855,LJUBLJANA - ŠENTVID,2022-08-15,0,ne,ne,ne,ne,ne,ne,ne
_2855,LJUBLJANA - ŠENTVID,2022-08-16,0,ne,ne,ne,ne,ne,ne,ne
_2855,LJUBLJANA - ŠENTVID,2022-08-17,0,ne,ne,ne,ne,ne,ne,ne
_2855,LJUBLJANA - ŠENTVID,2022-08-18,0,da,da,ne,ne,ne,ne,ne
_2855,LJUBLJANA - ŠENTVID,2022-08-19,3.8,da,da,ne,ne,ne,da,ne
_2855,LJUBLJANA - ŠENTVID,2022-08-20,3.8,ne,ne,ne,ne,ne,da,ne
_2855,LJUBLJANA - ŠENTVID,2022-08-21,0,ne,ne,ne,ne,ne,ne,ne
_2855,LJUBLJANA - ŠENTVID,2022-08-22,0,ne,ne,ne,ne,ne,ne,ne
_2855,LJUBLJANA - ŠENTVID,2022-08-23,1.4,da,ne,ne,ne,ne,da,ne
_2855,LJUBLJANA - ŠENTVID,2022-08-24,0.4,ne,ne,ne,ne,ne,da,ne
_2855,LJUBLJANA - ŠENTVID,2022-08-25,0,ne,ne,ne,ne,ne,ne,ne
_2855,LJUBLJANA - ŠENTVID,2022-08-26,0,ne,ne,ne,ne,ne,ne,ne
_2855,LJUBLJANA - ŠENTVID,2022-08-27,0,da,da,ne,ne,ne,ne,ne
_2855,LJUBLJANA - ŠENTVID,2022-08-28,0.5,da,da,ne,ne,ne,da,ne
_2855,LJUBLJANA - ŠENTVID,2022-08-29,14.5,ne,ne,ne,ne,ne,da,ne
_2855,LJUBLJANA - ŠENTVID,2022-08-30,0,da,da,ne,ne,ne,ne,ne
_2855,LJUBLJANA - ŠENTVID,2022-08-31,38.4,da,ne,ne,ne,ne,da,ne
_2855,LJUBLJANA - ŠENTVID,2022-09-01,14,ne,ne,ne,ne,ne,da,ne
_2855,LJUBLJANA - ŠENTVID,2022-09-02,0,ne,ne,ne,ne,ne,ne,ne
_2855,LJUBLJANA - ŠENTVID,2022-09-03,0,ne,ne,ne,ne,ne,ne,ne
_2855,LJUBLJANA - ŠENTVID,2022-09-04,0,da,ne,ne,ne,ne,ne,ne
_2855,LJUBLJANA - ŠENTVID,2022-09-05,0.1,ne,ne,ne,ne,ne,da,ne
_2855,LJUBLJANA - ŠENTVID,2022-09-06,0,ne,ne,ne,ne,ne,ne,ne
_2855,LJUBLJANA - ŠENTVID,2022-09-07,0,ne,ne,ne,ne,ne,ne,ne
_2855,LJUBLJANA - ŠENTVID,2022-09-08,0,da,da,ne,ne,ne,ne,ne
_2855,LJUBLJANA - ŠENTVID,2022-09-09,8.6,da,da,ne,ne,ne,da,ne
_2855,LJUBLJANA - ŠENTVID,2022-09-10,8.6,da,da,ne,ne,ne,da,ne
_2855,LJUBLJANA - ŠENTVID,2022-09-11,3.3,ne,ne,ne,ne,ne,da,ne
_2855,LJUBLJANA - ŠENTVID,2022-09-12,0,ne,ne,ne,ne,ne,ne,ne
_2855,LJUBLJANA - ŠENTVID,2022-09-13,0,ne,ne,ne,ne,ne,ne,ne
_2855,LJUBLJANA - ŠENTVID,2022-09-14,0,ne,ne,ne,ne,ne,ne,ne
_2855,LJUBLJANA - ŠENTVID,2022-09-15,0.7,da,da,ne,ne,ne,da,ne
_2855,LJUBLJANA - ŠENTVID,2022-09-16,158,da,ne,ne,ne,ne,da,ne
_2855,LJUBLJANA - ŠENTVID,2022-09-17,104.3,da,ne,ne,ne,ne,da,ne
_2855,LJUBLJANA - ŠENTVID,2022-09-18,9.7,da,ne,ne,ne,ne,da,ne
_2855,LJUBLJANA - ŠENTVID,2022-09-19,0,ne,ne,ne,ne,ne,da,ne
_2855,LJUBLJANA - ŠENTVID,2022-09-20,0,ne,ne,ne,ne,ne,ne,ne
_2855,LJUBLJANA - ŠENTVID,2022-09-21,0,da,ne,ne,ne,ne,da,ne
_2855,LJUBLJANA - ŠENTVID,2022-09-22,0,ne,ne,ne,ne,ne,ne,ne
_2855,LJUBLJANA - ŠENTVID,2022-09-23,0,ne,ne,ne,ne,ne,ne,ne
_2855,LJUBLJANA - ŠENTVID,2022-09-24,0,ne,ne,ne,ne,ne,ne,ne
_2855,LJUBLJANA - ŠENTVID,2022-09-25,7.2,da,ne,ne,ne,ne,da,ne
_2855,LJUBLJANA - ŠENTVID,2022-09-26,72.6,da,ne,ne,ne,ne,da,ne
_2855,LJUBLJANA - ŠENTVID,2022-09-27,13.4,da,ne,ne,ne,ne,da,ne
_2855,LJUBLJANA - ŠENTVID,2022-09-28,12.5,da,ne,ne,ne,ne,da,ne
_2855,LJUBLJANA - ŠENTVID,2022-09-29,21.7,da,ne,ne,ne,ne,da,ne
_2855,LJUBLJANA - ŠENTVID,2022-09-30,59.5,da,ne,ne,ne,ne,da,ne
_2855,LJUBLJANA - ŠENTVID,2022-10-01,21,da,ne,ne,ne,ne,da,ne
_2855,LJUBLJANA - ŠENTVID,2022-10-02,0,ne,ne,ne,ne,ne,ne,ne
_2855,LJUBLJANA - ŠENTVID,2022-10-03,0,ne,ne,ne,ne,ne,ne,ne
_2855,LJUBLJANA - ŠENTVID,2022-10-04,0,ne,ne,ne,ne,ne,ne,ne
_2855,LJUBLJANA - ŠENTVID,2022-10-05,0,ne,ne,ne,ne,ne,ne,ne
_2855,LJUBLJANA - ŠENTVID,2022-10-06,0,ne,ne,ne,ne,ne,ne,ne
_2855,LJUBLJANA - ŠENTVID,2022-10-07,0,ne,ne,ne,ne,ne,ne,ne
_2855,LJUBLJANA - ŠENTVID,2022-10-08,0,ne,ne,ne,ne,ne,ne,ne
_2855,LJUBLJANA - ŠENTVID,2022-10-09,0,ne,ne,ne,ne,ne,ne,ne
_2855,LJUBLJANA - ŠENTVID,2022-10-10,0,ne,ne,ne,ne,ne,ne,ne
_2855,LJUBLJANA - ŠENTVID,2022-10-11,0,ne,ne,ne,ne,ne,ne,ne
_2855,LJUBLJANA - ŠENTVID,2022-10-12,0,ne,ne,ne,ne,ne,ne,ne
_2855,LJUBLJANA - ŠENTVID,2022-10-13,0,ne,ne,ne,ne,ne,ne,ne
